source,target,type,voltage_kv,capacity_mva,length_km,reactance_pu,resistance_pu
IN-C11869-SS,IN-C12219-SS,sub_transmission,132,63,20.09,0.032148,0.006371
IN-C11871-SS,IN-C12168-SS,sub_transmission,132,63,8.84,0.014138,0.001761
IN-C11873-SS,IN-C11884-SS,sub_transmission,132,63,1.63,0.002611,0.000719
IN-C11873-SS,IN-C11885-SS,sub_transmission,132,63,2.95,0.004712,0.000709
IN-C11875-SS,IN-C12142-SS,sub_transmission,132,63,3.09,0.004945,0.000607
IN-C11876-SS,IN-C12058-SS,sub_transmission,132,63,4.69,0.00751,0.001895
IN-C11876-SS,IN-C12162-SS,sub_transmission,132,63,4.71,0.007529,0.001532
IN-C11877-SS,IN-C11904-SS,sub_transmission,132,63,1.9,0.003044,0.000686
IN-C11878-SS,IN-C12160-SS,sub_transmission,132,63,13.52,0.021631,0.004958
IN-C11878-SS,IN-C12045-SS,sub_transmission,132,63,13.82,0.022114,0.00274
IN-C11879-SS,IN-C12064-SS,sub_transmission,132,63,4.21,0.006741,0.001766
IN-C11879-SS,IN-C12109-SS,sub_transmission,132,63,8.9,0.014239,0.002396
IN-C11880-SS,IN-C11883-SS,sub_transmission,132,63,1.25,0.002005,0.000354
IN-C11880-SS,IN-C11887-SS,sub_transmission,132,63,2.83,0.004531,0.001092
IN-C11882-SS,IN-C11885-SS,sub_transmission,132,63,5.15,0.008239,0.001816
IN-C11883-SS,IN-C11887-SS,sub_transmission,132,63,1.61,0.002568,0.000316
IN-C11884-SS,IN-C11885-SS,sub_transmission,132,63,4.04,0.006461,0.001515
IN-C11886-SS,IN-C11887-SS,sub_transmission,132,63,1.68,0.002695,0.000406
IN-C11889-SS,IN-C12171-SS,sub_transmission,132,63,25.23,0.040368,0.01185
IN-C11890-SS,IN-C12017-SS,sub_transmission,132,63,6.91,0.011061,0.002189
IN-C11890-SS,IN-C12187-SS,sub_transmission,132,63,7.11,0.011379,0.003153
IN-C11891-SS,IN-C11991-SS,sub_transmission,132,63,15.23,0.024374,0.005652
IN-C11892-SS,IN-C12040-SS,sub_transmission,132,63,18.1,0.028953,0.005857
IN-C11892-SS,IN-C11893-SS,sub_transmission,132,63,35.23,0.05636,0.008438
IN-C11893-SS,IN-C12070-SS,sub_transmission,132,63,30.22,0.048353,0.011723
IN-C11894-SS,IN-C12145-SS,sub_transmission,132,63,3.06,0.004898,0.001021
IN-C11894-SS,IN-C11941-SS,sub_transmission,132,63,10.32,0.01651,0.004552
IN-C11895-SS,IN-C11923-SS,sub_transmission,132,63,26.94,0.043103,0.012124
IN-C11896-SS,IN-C12073-SS,sub_transmission,132,63,12.23,0.019564,0.003101
IN-C11897-SS,IN-C12119-SS,sub_transmission,132,63,16.72,0.026748,0.005741
IN-C11898-SS,IN-C12242-SS,sub_transmission,132,63,2.08,0.003334,0.000819
IN-C11898-SS,IN-C12141-SS,sub_transmission,132,63,3.36,0.005375,0.001119
IN-C11899-SS,IN-C12235-SS,sub_transmission,132,63,5.65,0.009034,0.001599
IN-C11901-SS,IN-C12206-SS,sub_transmission,132,63,6.24,0.009978,0.001994
IN-C11901-SS,IN-C12207-SS,sub_transmission,132,63,7.07,0.011315,0.001464
IN-C11903-SS,IN-C12156-SS,sub_transmission,132,63,15.31,0.024492,0.006232
IN-C11905-SS,IN-C12007-SS,sub_transmission,132,63,10.98,0.017572,0.003325
IN-C11906-SS,IN-C12135-SS,sub_transmission,132,63,7.52,0.01203,0.002021
IN-C11907-SS,IN-C12183-SS,sub_transmission,132,63,0.95,0.0016,0.000369
IN-C11908-SS,IN-C12271-SS,sub_transmission,132,63,8.19,0.013105,0.003729
IN-C11908-SS,IN-C12273-SS,sub_transmission,132,63,11.3,0.01808,0.004959
IN-C11909-SS,IN-C12060-SS,sub_transmission,132,63,4.96,0.007928,0.001717
IN-C11909-SS,IN-C12059-SS,sub_transmission,132,63,5.97,0.009547,0.001861
IN-C11910-SS,IN-C12280-SS,sub_transmission,132,63,6.43,0.010295,0.001603
IN-C11911-SS,IN-C12158-SS,sub_transmission,132,63,29.18,0.046688,0.01105
IN-C11912-SS,IN-C12228-SS,sub_transmission,132,63,8.64,0.013831,0.002684
IN-C11912-SS,IN-C12191-SS,sub_transmission,132,63,10.28,0.01644,0.004745
IN-C11913-SS,IN-C12210-SS,sub_transmission,132,63,2.44,0.0039,0.001139
IN-C11913-SS,IN-C12306-SS,sub_transmission,132,63,2.55,0.00408,0.001198
IN-C11914-SS,IN-C12169-SS,sub_transmission,132,63,3.03,0.004855,0.000781
IN-C11916-SS,IN-C12054-SS,sub_transmission,132,63,25.59,0.040948,0.005988
IN-C11916-SS,IN-C12164-SS,sub_transmission,132,63,30.28,0.048445,0.008113
IN-C11917-SS,IN-C11997-SS,sub_transmission,132,63,10.87,0.017393,0.002835
IN-C11918-SS,IN-C12187-SS,sub_transmission,132,63,2.23,0.003566,0.000921
IN-C11918-SS,IN-C12017-SS,sub_transmission,132,63,3.28,0.005253,0.001471
IN-C11919-SS,IN-C12080-SS,sub_transmission,132,63,1.67,0.002675,0.000406
IN-C11920-SS,IN-C11921-SS,sub_transmission,132,63,1.19,0.001905,0.000383
IN-C11922-SS,IN-C12279-SS,sub_transmission,132,63,13.02,0.020829,0.002685
IN-C11922-SS,IN-C12106-SS,sub_transmission,132,63,24.86,0.039768,0.009285
IN-C11923-SS,IN-C12291-SS,sub_transmission,132,63,6.43,0.010284,0.00182
IN-C11924-SS,IN-C11973-SS,sub_transmission,132,63,2.09,0.003348,0.000867
IN-C11924-SS,IN-C12301-SS,sub_transmission,132,63,13.24,0.021188,0.005492
IN-C11925-SS,IN-C12251-SS,sub_transmission,132,63,1.27,0.002036,0.000368
IN-C11926-SS,IN-C12053-SS,sub_transmission,132,63,7.72,0.012357,0.002012
IN-C11926-SS,IN-C12215-SS,sub_transmission,132,63,9.32,0.014917,0.003593
IN-C11927-SS,IN-C12195-SS,sub_transmission,132,63,3.03,0.004854,0.001231
IN-C11928-SS,IN-C12028-SS,sub_transmission,132,63,12.99,0.020786,0.003514
IN-C11929-SS,IN-C11987-SS,sub_transmission,132,63,11.0,0.017603,0.002801
IN-C11929-SS,IN-C12203-SS,sub_transmission,132,63,14.26,0.022822,0.006363
IN-C11930-SS,IN-C11954-SS,sub_transmission,132,63,7.57,0.012108,0.001962
IN-C11930-SS,IN-C12152-SS,sub_transmission,132,63,11.26,0.018021,0.003399
IN-C11931-SS,IN-C11932-SS,sub_transmission,132,63,0.82,0.0016,0.000455
IN-C11931-SS,IN-C12225-SS,sub_transmission,132,63,3.02,0.004834,0.000943
IN-C11932-SS,IN-C12225-SS,sub_transmission,132,63,2.86,0.004571,0.001236
IN-C11933-SS,IN-C12166-SS,sub_transmission,132,63,5.0,0.008,0.001222
IN-C11933-SS,IN-C12241-SS,sub_transmission,132,63,7.47,0.01195,0.001503
IN-C11934-SS,IN-C12302-SS,sub_transmission,132,63,19.92,0.031866,0.007617
IN-C11936-SS,IN-C12176-SS,sub_transmission,132,63,1.39,0.00222,0.000607
IN-C11936-SS,IN-C12122-SS,sub_transmission,132,63,3.6,0.005766,0.001265
IN-C11938-SS,IN-C12087-SS,sub_transmission,132,63,11.24,0.017982,0.004091
IN-C11940-SS,IN-C11941-SS,sub_transmission,132,63,1.12,0.001799,0.000365
IN-C11942-SS,IN-C12267-SS,sub_transmission,132,63,8.99,0.014386,0.0035
IN-C11943-SS,IN-C11944-SS,sub_transmission,132,63,2.33,0.003728,0.000576
IN-C11943-SS,IN-C12266-SS,sub_transmission,132,63,10.34,0.016543,0.004083
IN-C11946-SS,IN-C11947-SS,sub_transmission,132,63,0.47,0.0016,0.000267
IN-C11948-SS,IN-C11949-SS,sub_transmission,132,63,0.84,0.0016,0.000278
IN-C11950-SS,IN-C12262-SS,sub_transmission,132,63,9.09,0.014543,0.002124
IN-C11950-SS,IN-C12023-SS,sub_transmission,132,63,14.81,0.023693,0.002907
IN-C11951-SS,IN-C11952-SS,sub_transmission,132,63,1.21,0.001943,0.000357
IN-C11951-SS,IN-C12247-SS,sub_transmission,132,63,6.21,0.009931,0.001456
IN-C11952-SS,IN-C12247-SS,sub_transmission,132,63,6.17,0.00987,0.001443
IN-C11953-SS,IN-C11995-SS,sub_transmission,132,63,1.39,0.00223,0.000666
IN-C11954-SS,IN-C12152-SS,sub_transmission,132,63,7.25,0.0116,0.002131
IN-C11956-SS,IN-C12288-SS,sub_transmission,132,63,14.56,0.02329,0.004529
IN-C11958-SS,IN-C11975-SS,sub_transmission,132,63,3.3,0.005287,0.001102
IN-C11958-SS,IN-C12076-SS,sub_transmission,132,63,7.26,0.011612,0.002477
IN-C11961-SS,IN-C12252-SS,sub_transmission,132,63,8.74,0.013992,0.003623
IN-C11961-SS,IN-C12081-SS,sub_transmission,132,63,15.07,0.024111,0.005546
IN-C11963-SS,IN-C12034-SS,sub_transmission,132,63,7.92,0.012669,0.001548
IN-C11964-SS,IN-C12226-SS,sub_transmission,132,63,23.11,0.036968,0.007441
IN-C11965-SS,IN-C12044-SS,sub_transmission,132,63,2.98,0.004767,0.000897
IN-C11965-SS,IN-C12251-SS,sub_transmission,132,63,10.92,0.017468,0.002454
IN-C11966-SS,IN-C12135-SS,sub_transmission,132,63,4.44,0.007105,0.001007
IN-C11966-SS,IN-C12116-SS,sub_transmission,132,63,7.62,0.012187,0.002983
IN-C11968-SS,IN-C12079-SS,sub_transmission,132,63,21.77,0.03483,0.009009
IN-C11968-SS,IN-C12150-SS,sub_transmission,132,63,22.77,0.036435,0.008973
IN-C11969-SS,IN-C12141-SS,sub_transmission,132,63,8.53,0.01365,0.002199
IN-C11970-SS,IN-C12205-SS,sub_transmission,132,63,13.82,0.022111,0.005802
IN-C11971-SS,IN-C12146-SS,sub_transmission,132,63,10.07,0.016109,0.004291
IN-C11971-SS,IN-C11993-SS,sub_transmission,132,63,17.36,0.027773,0.005024
IN-C11972-SS,IN-C12200-SS,sub_transmission,132,63,8.81,0.01409,0.00351
IN-C11972-SS,IN-C12018-SS,sub_transmission,132,63,12.62,0.020193,0.002511
IN-C11974-SS,IN-C12289-SS,sub_transmission,132,63,8.44,0.013498,0.00401
IN-C11974-SS,IN-C12180-SS,sub_transmission,132,63,8.45,0.013514,0.002038
IN-C11975-SS,IN-C12076-SS,sub_transmission,132,63,10.36,0.016576,0.002399
IN-C11976-SS,IN-C11977-SS,sub_transmission,132,63,0.86,0.0016,0.000395
IN-C11978-SS,IN-C11979-SS,sub_transmission,132,63,1.24,0.001982,0.000551
IN-C11981-SS,IN-C12241-SS,sub_transmission,132,63,14.27,0.022824,0.006312
IN-C11982-SS,IN-C12235-SS,sub_transmission,132,63,9.75,0.015597,0.004033
IN-C11983-SS,IN-C12140-SS,sub_transmission,132,63,9.84,0.01575,0.003475
IN-C11984-SS,IN-C11985-SS,sub_transmission,132,63,1.02,0.00163,0.000359
IN-C11987-SS,IN-C12203-SS,sub_transmission,132,63,3.31,0.0053,0.001035
IN-C11988-SS,IN-C12193-SS,sub_transmission,132,63,11.92,0.019072,0.003524
IN-C11988-SS,IN-C12237-SS,sub_transmission,132,63,18.21,0.029137,0.004321
IN-C11989-SS,IN-C12128-SS,sub_transmission,132,63,3.62,0.005791,0.001464
IN-C11989-SS,IN-C12306-SS,sub_transmission,132,63,7.86,0.012573,0.003478
IN-C11990-SS,IN-C12297-SS,sub_transmission,132,63,10.17,0.016272,0.004425
IN-C11991-SS,IN-C12209-SS,sub_transmission,132,63,11.32,0.018118,0.003769
IN-C11992-SS,IN-C12161-SS,sub_transmission,132,63,12.32,0.019711,0.00489
IN-C11992-SS,IN-C12234-SS,sub_transmission,132,63,14.53,0.023249,0.004811
IN-C11993-SS,IN-C12146-SS,sub_transmission,132,63,7.29,0.011668,0.002729
IN-C11993-SS,IN-C12098-SS,sub_transmission,132,63,8.9,0.014242,0.003685
IN-C11994-SS,IN-C12039-SS,sub_transmission,132,63,8.63,0.013804,0.004115
IN-C11994-SS,IN-C12196-SS,sub_transmission,132,63,9.3,0.014887,0.003178
IN-C11997-SS,IN-C12063-SS,sub_transmission,132,63,2.52,0.004032,0.000617
IN-C11999-SS,IN-C12191-SS,sub_transmission,132,63,3.67,0.005876,0.001664
IN-C11999-SS,IN-C12134-SS,sub_transmission,132,63,13.5,0.021594,0.002802
IN-C12000-SS,IN-C12010-SS,sub_transmission,132,63,4.09,0.006545,0.001575
IN-C12000-SS,IN-C12185-SS,sub_transmission,132,63,8.47,0.013554,0.002158
IN-C12001-SS,IN-C12159-SS,sub_transmission,132,63,3.76,0.006015,0.000735
IN-C12002-SS,IN-C12316-SS,sub_transmission,132,63,4.4,0.007033,0.000957
IN-C12002-SS,IN-C12178-SS,sub_transmission,132,63,7.28,0.011653,0.001526
IN-C12003-SS,IN-C12304-SS,sub_transmission,132,63,7.26,0.011611,0.001496
IN-C12003-SS,IN-C12231-SS,sub_transmission,132,63,9.07,0.014513,0.003224
IN-C12005-SS,IN-C12024-SS,sub_transmission,132,63,6.42,0.010273,0.001553
IN-C12005-SS,IN-C12103-SS,sub_transmission,132,63,7.55,0.012075,0.002664
IN-C12006-SS,IN-C12221-SS,sub_transmission,132,63,5.6,0.008956,0.001346
IN-C12008-SS,IN-C12132-SS,sub_transmission,132,63,3.9,0.006245,0.001618
IN-C12009-SS,IN-C12321-SS,sub_transmission,132,63,7.05,0.011273,0.003221
IN-C12009-SS,IN-C12069-SS,sub_transmission,132,63,11.38,0.018215,0.002833
IN-C12010-SS,IN-C12185-SS,sub_transmission,132,63,4.59,0.007344,0.002149
IN-C12011-SS,IN-C12125-SS,sub_transmission,132,63,10.24,0.016389,0.004455
IN-C12011-SS,IN-C12232-SS,sub_transmission,132,63,12.86,0.020583,0.004433
IN-C12012-SS,IN-C12030-SS,sub_transmission,132,63,2.55,0.004074,0.000864
IN-C12012-SS,IN-C12033-SS,sub_transmission,132,63,3.07,0.004914,0.000885
IN-C12013-SS,IN-C12093-SS,sub_transmission,132,63,7.49,0.01198,0.003358
IN-C12013-SS,IN-C12232-SS,sub_transmission,132,63,11.43,0.018284,0.00254
IN-C12014-SS,IN-C12015-SS,sub_transmission,132,63,9.3,0.014885,0.003136
IN-C12016-SS,IN-C12227-SS,sub_transmission,132,63,12.81,0.0205,0.005569
IN-C12017-SS,IN-C12187-SS,sub_transmission,132,63,2.53,0.004048,0.000796
IN-C12017-SS,IN-C12115-SS,sub_transmission,132,63,3.09,0.00494,0.000847
IN-C12018-SS,IN-C12162-SS,sub_transmission,132,63,6.89,0.011021,0.001432
IN-C12019-SS,IN-C12296-SS,sub_transmission,132,63,4.68,0.007491,0.001005
IN-C12019-SS,IN-C12151-SS,sub_transmission,132,63,8.3,0.013286,0.003528
IN-C12021-SS,IN-C12040-SS,sub_transmission,132,63,30.21,0.048337,0.009228
IN-C12022-SS,IN-C12200-SS,sub_transmission,132,63,7.69,0.01231,0.003108
IN-C12022-SS,IN-C12189-SS,sub_transmission,132,63,14.15,0.022638,0.006242
IN-C12023-SS,IN-C12214-SS,sub_transmission,132,63,11.56,0.018489,0.004198
IN-C12024-SS,IN-C12103-SS,sub_transmission,132,63,8.83,0.014129,0.004041
IN-C12025-SS,IN-C12178-SS,sub_transmission,132,63,5.59,0.008949,0.002518
IN-C12025-SS,IN-C12316-SS,sub_transmission,132,63,6.32,0.010111,0.001884
IN-C12026-SS,IN-C12196-SS,sub_transmission,132,63,8.7,0.013923,0.002227
IN-C12026-SS,IN-C12039-SS,sub_transmission,132,63,8.76,0.014014,0.002898
IN-C12028-SS,IN-C12036-SS,sub_transmission,132,63,10.57,0.016915,0.003767
IN-C12030-SS,IN-C12278-SS,sub_transmission,132,63,2.76,0.00442,0.001287
IN-C12031-SS,IN-C12052-SS,sub_transmission,132,63,3.83,0.006125,0.000833
IN-C12035-SS,IN-C12149-SS,sub_transmission,132,63,11.37,0.018185,0.004352
IN-C12035-SS,IN-C12060-SS,sub_transmission,132,63,15.1,0.02416,0.00359
IN-C12038-SS,IN-C12209-SS,sub_transmission,132,63,11.18,0.017884,0.005187
IN-C12041-SS,IN-C12308-SS,sub_transmission,132,63,13.56,0.0217,0.006198
IN-C12041-SS,IN-C12246-SS,sub_transmission,132,63,20.21,0.032337,0.008213
IN-C12042-SS,IN-C12163-SS,sub_transmission,132,63,21.17,0.033876,0.004378
IN-C12043-SS,IN-C12289-SS,sub_transmission,132,63,7.82,0.012514,0.002738
IN-C12043-SS,IN-C12192-SS,sub_transmission,132,63,9.58,0.015324,0.002389
IN-C12044-SS,IN-C12251-SS,sub_transmission,132,63,10.17,0.01628,0.002359
IN-C12045-SS,IN-C12160-SS,sub_transmission,132,63,0.93,0.0016,0.000342
IN-C12047-SS,IN-C12048-SS,sub_transmission,132,63,1.15,0.001832,0.000375
IN-C12048-SS,IN-C12299-SS,sub_transmission,132,63,3.75,0.005997,0.001472
IN-C12049-SS,IN-C12230-SS,sub_transmission,132,63,17.42,0.027867,0.008035
IN-C12049-SS,IN-C12210-SS,sub_transmission,132,63,20.44,0.032712,0.009313
IN-C12050-SS,IN-C12243-SS,sub_transmission,132,63,8.05,0.012887,0.002311
IN-C12050-SS,IN-C12242-SS,sub_transmission,132,63,10.81,0.017299,0.002868
IN-C12051-SS,IN-C12286-SS,sub_transmission,132,63,4.82,0.007705,0.001771
IN-C12053-SS,IN-C12215-SS,sub_transmission,132,63,3.53,0.005653,0.000897
IN-C12054-SS,IN-C12203-SS,sub_transmission,132,63,30.34,0.048545,0.008146
IN-C12055-SS,IN-C12167-SS,sub_transmission,132,63,4.53,0.007249,0.001066
IN-C12056-SS,IN-C12152-SS,sub_transmission,132,63,10.57,0.016905,0.002915
IN-C12057-SS,IN-C12214-SS,sub_transmission,132,63,9.93,0.015883,0.004498
IN-C12058-SS,IN-C12162-SS,sub_transmission,132,63,3.18,0.005085,0.000981
IN-C12059-SS,IN-C12060-SS,sub_transmission,132,63,1.16,0.001851,0.000326
IN-C12059-SS,IN-C12181-SS,sub_transmission,132,63,4.77,0.007635,0.001165
IN-C12061-SS,IN-C12239-SS,sub_transmission,132,63,4.6,0.007366,0.001224
IN-C12064-SS,IN-C12109-SS,sub_transmission,132,63,5.92,0.009477,0.001593
IN-C12065-SS,IN-C12218-SS,sub_transmission,132,63,21.56,0.0345,0.005281
IN-C12066-SS,IN-C12186-SS,sub_transmission,132,63,13.92,0.022273,0.002768
IN-C12067-SS,IN-C12076-SS,sub_transmission,132,63,10.55,0.016874,0.003893
IN-C12067-SS,IN-C12277-SS,sub_transmission,132,63,11.01,0.017613,0.00216
IN-C12068-SS,IN-C12145-SS,sub_transmission,132,63,13.49,0.021589,0.005489
IN-C12069-SS,IN-C12321-SS,sub_transmission,132,63,4.35,0.006952,0.001114
IN-C12069-SS,IN-C12089-SS,sub_transmission,132,63,9.88,0.015805,0.0047
IN-C12070-SS,IN-C12114-SS,sub_transmission,132,63,23.63,0.037801,0.011029
IN-C12071-SS,IN-C12260-SS,sub_transmission,132,63,9.27,0.014829,0.00435
IN-C12071-SS,IN-C12165-SS,sub_transmission,132,63,16.66,0.02665,0.005279
IN-C12074-SS,IN-C12240-SS,sub_transmission,132,63,5.56,0.008889,0.001164
IN-C12077-SS,IN-C12189-SS,sub_transmission,132,63,14.49,0.023186,0.004625
IN-C12079-SS,IN-C12150-SS,sub_transmission,132,63,5.16,0.008261,0.00103
IN-C12081-SS,IN-C12240-SS,sub_transmission,132,63,4.16,0.00665,0.001314
IN-C12082-SS,IN-C12083-SS,sub_transmission,132,63,1.36,0.002175,0.000515
IN-C12082-SS,IN-C12257-SS,sub_transmission,132,63,12.37,0.019797,0.003282
IN-C12083-SS,IN-C12257-SS,sub_transmission,132,63,12.09,0.019344,0.003172
IN-C12085-SS,IN-C12182-SS,sub_transmission,132,63,18.79,0.030065,0.004477
IN-C12086-SS,IN-C12087-SS,sub_transmission,132,63,1.35,0.002157,0.000301
IN-C12086-SS,IN-C12112-SS,sub_transmission,132,63,8.49,0.013577,0.003973
IN-C12087-SS,IN-C12112-SS,sub_transmission,132,63,8.75,0.013996,0.003997
IN-C12088-SS,IN-C12281-SS,sub_transmission,132,63,10.14,0.016218,0.002575
IN-C12089-SS,IN-C12288-SS,sub_transmission,132,63,8.41,0.013463,0.00246
IN-C12090-SS,IN-C12290-SS,sub_transmission,132,63,8.88,0.014203,0.002992
IN-C12092-SS,IN-C12194-SS,sub_transmission,132,63,10.33,0.016524,0.004398
IN-C12092-SS,IN-C12275-SS,sub_transmission,132,63,11.18,0.017886,0.003341
IN-C12095-SS,IN-C12190-SS,sub_transmission,132,63,4.75,0.007595,0.002061
IN-C12097-SS,IN-C12108-SS,sub_transmission,132,63,0.44,0.0016,0.000251
IN-C12100-SS,IN-C12213-SS,sub_transmission,132,63,4.34,0.006936,0.001799
IN-C12100-SS,IN-C12107-SS,sub_transmission,132,63,7.95,0.01272,0.002671
IN-C12101-SS,IN-C12276-SS,sub_transmission,132,63,9.96,0.015939,0.002127
IN-C12105-SS,IN-C12198-SS,sub_transmission,132,63,11.23,0.017961,0.002546
IN-C12106-SS,IN-C12322-SS,sub_transmission,132,63,9.58,0.015329,0.003357
IN-C12106-SS,IN-C12279-SS,sub_transmission,132,63,11.87,0.018987,0.005047
IN-C12107-SS,IN-C12213-SS,sub_transmission,132,63,9.3,0.014873,0.004162
IN-C12109-SS,IN-C12168-SS,sub_transmission,132,63,6.84,0.010942,0.00279
IN-C12111-SS,IN-C12115-SS,sub_transmission,132,63,3.67,0.00588,0.001698
IN-C12113-SS,IN-C12192-SS,sub_transmission,132,63,13.73,0.021973,0.003627
IN-C12116-SS,IN-C12197-SS,sub_transmission,132,63,2.9,0.004637,0.000704
IN-C12116-SS,IN-C12135-SS,sub_transmission,132,63,6.07,0.009707,0.002112
IN-C12117-SS,IN-C12298-SS,sub_transmission,132,63,8.87,0.014198,0.003018
IN-C12118-SS,IN-C12268-SS,sub_transmission,132,63,6.82,0.010905,0.00202
IN-C12119-SS,IN-C12308-SS,sub_transmission,132,63,8.01,0.012808,0.003054
IN-C12120-SS,IN-C12129-SS,sub_transmission,132,63,7.27,0.011627,0.002319
IN-C12122-SS,IN-C12176-SS,sub_transmission,132,63,4.55,0.00728,0.002015
IN-C12125-SS,IN-C12232-SS,sub_transmission,132,63,6.67,0.010671,0.00237
IN-C12126-SS,IN-C12269-SS,sub_transmission,132,63,6.0,0.009597,0.002669
IN-C12128-SS,IN-C12306-SS,sub_transmission,132,63,4.31,0.006898,0.000839
IN-C12133-SS,IN-C12231-SS,sub_transmission,132,63,12.35,0.019754,0.003166
IN-C12134-SS,IN-C12191-SS,sub_transmission,132,63,14.95,0.023923,0.005368
IN-C12138-SS,IN-C12239-SS,sub_transmission,132,63,4.66,0.007464,0.001773
IN-C12139-SS,IN-C12140-SS,sub_transmission,132,63,52.91,0.084655,0.019842
IN-C12141-SS,IN-C12242-SS,sub_transmission,132,63,4.81,0.007703,0.001714
IN-C12144-SS,IN-C12282-SS,sub_transmission,132,63,30.33,0.04853,0.012097
IN-C12147-SS,IN-C12172-SS,sub_transmission,132,63,8.59,0.013749,0.00328
IN-C12148-SS,IN-C12243-SS,sub_transmission,132,63,17.65,0.028245,0.005092
IN-C12149-SS,IN-C12181-SS,sub_transmission,132,63,13.4,0.021446,0.004482
IN-C12151-SS,IN-C12313-SS,sub_transmission,132,63,7.47,0.01195,0.002622
IN-C12151-SS,IN-C12296-SS,sub_transmission,132,63,8.01,0.012821,0.002653
IN-C12153-SS,IN-C12290-SS,sub_transmission,132,63,4.07,0.006508,0.001425
IN-C12155-SS,IN-C12184-SS,sub_transmission,132,63,11.03,0.017649,0.004178
IN-C12156-SS,IN-C12305-SS,sub_transmission,132,63,6.63,0.010613,0.001464
IN-C12157-SS,IN-C12178-SS,sub_transmission,132,63,8.68,0.013886,0.003558
IN-C12161-SS,IN-C12234-SS,sub_transmission,132,63,11.54,0.01846,0.003623
IN-C12164-SS,IN-C12212-SS,sub_transmission,132,63,6.37,0.010187,0.00255
IN-C12171-SS,IN-C12176-SS,sub_transmission,132,63,6.65,0.010641,0.001635
IN-C12173-SS,IN-C12319-SS,sub_transmission,132,63,8.98,0.01436,0.002021
IN-C12177-SS,IN-C12309-SS,sub_transmission,132,63,6.31,0.010095,0.002492
IN-C12178-SS,IN-C12316-SS,sub_transmission,132,63,4.03,0.006444,0.001765
IN-C12179-SS,IN-C12255-SS,sub_transmission,132,63,13.68,0.021889,0.003188
IN-C12184-SS,IN-C12301-SS,sub_transmission,132,63,14.99,0.023986,0.003888
IN-C12194-SS,IN-C12275-SS,sub_transmission,132,63,12.14,0.019424,0.003352
IN-C12199-SS,IN-C12310-SS,sub_transmission,132,63,2.84,0.004538,0.000641
IN-C12201-SS,IN-C12293-SS,sub_transmission,132,63,9.55,0.015278,0.002066
IN-C12202-SS,IN-C12319-SS,sub_transmission,132,63,11.84,0.018944,0.005682
IN-C12204-SS,IN-C12319-SS,sub_transmission,132,63,16.93,0.027093,0.006521
IN-C12205-SS,IN-C12276-SS,sub_transmission,132,63,8.78,0.014044,0.002189
IN-C12206-SS,IN-C12207-SS,sub_transmission,132,63,0.95,0.0016,0.000412
IN-C12210-SS,IN-C12230-SS,sub_transmission,132,63,3.15,0.005032,0.000893
IN-C12211-SS,IN-C12304-SS,sub_transmission,132,63,8.35,0.013356,0.002153
IN-C12216-SS,IN-C12233-SS,sub_transmission,132,63,2.02,0.003238,0.000734
IN-C12220-SS,IN-C12272-SS,sub_transmission,132,63,11.53,0.018446,0.005126
IN-C12222-SS,IN-C12223-SS,sub_transmission,132,63,0.6,0.0016,0.000269
IN-C12222-SS,IN-C12266-SS,sub_transmission,132,63,5.66,0.009058,0.002593
IN-C12229-SS,IN-C12283-SS,sub_transmission,132,63,16.05,0.025687,0.003213
IN-C12238-SS,IN-C12239-SS,sub_transmission,132,63,2.03,0.003243,0.000814
IN-C12242-SS,IN-C12243-SS,sub_transmission,132,63,2.95,0.004713,0.000793
IN-C12247-SS,IN-C12256-SS,sub_transmission,132,63,5.45,0.008715,0.002037
IN-C12248-SS,IN-C12249-SS,sub_transmission,132,63,6.4,0.010233,0.001663
IN-C12253-SS,IN-C12322-SS,sub_transmission,132,63,5.15,0.008239,0.001197
IN-C12258-SS,IN-C12291-SS,sub_transmission,132,63,16.8,0.026874,0.005904
IN-C12271-SS,IN-C12273-SS,sub_transmission,132,63,14.97,0.023955,0.004787
IN-C12273-SS,IN-C12276-SS,sub_transmission,132,63,9.3,0.014873,0.001811
IN-C12282-SS,IN-C12295-SS,sub_transmission,132,63,23.11,0.036975,0.009515
IN-C12285-SS,IN-C12318-SS,sub_transmission,132,63,14.09,0.022548,0.005754
IN-C12296-SS,IN-C12313-SS,sub_transmission,132,63,5.23,0.008365,0.002172
IN-C11560-SS,IN-C11560-TR01,transformer_connection,132,315,5.82,0.009312,0.001189
IN-C11560-TR01,IN-C11560-FD011,feeder,33,100,6.37,0.038227,0.007979
IN-C11560-TR01,IN-C11560-FD012,feeder,33,100,5.55,0.033296,0.009628
IN-C11560-SS,IN-C11560-TR02,transformer_connection,132,315,4.33,0.006935,0.00126
IN-C11560-TR02,IN-C11560-FD021,feeder,33,100,8.61,0.051637,0.009507
IN-C11560-TR02,IN-C11560-FD022,feeder,33,100,4.6,0.027605,0.006314
IN-C11560-SS,IN-C11560-TR03,transformer_connection,132,315,3.37,0.005386,0.00094
IN-C11560-TR03,IN-C11560-FD031,feeder,33,100,11.41,0.068481,0.015693
IN-C11560-TR03,IN-C11560-FD032,feeder,33,100,9.51,0.057078,0.016007
IN-C11561-SS,IN-C11561-TR01,transformer_connection,132,315,4.6,0.007366,0.002104
IN-C11561-TR01,IN-C11561-FD011,feeder,33,100,11.18,0.067061,0.011227
